,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,U.S. Armed Services Posts,U.S. Dependencies,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Unknown
Kyrgyzstan,380,0,,4,3,59,4,0,,,15,9,0,,3,10,,,,,,0,12,14,4,4,,4,,0,3,,10,,57,4,,9,,14,9,0,,3,0,4,9,0,0,0,0,15,68,0,6,0,2
Laos,2743,19,22,8,45,721,30,18,4,0,46,80,0,6,4,39,6,36,22,5,10,,17,49,42,567,,10,0,13,18,5,8,7,14,82,0,34,21,36,23,0,27,17,,45,114,0,0,18,0,26,94,0,310,0,20
Latvia,342,,0,3,0,48,5,3,,0,27,8,0,,,34,3,,,3,,0,7,21,3,10,0,3,0,0,3,3,18,,77,4,0,8,,3,7,0,0,,,3,8,0,,,0,,6,0,5,0,1
Lebanon,3266,12,,41,,674,7,29,,4,210,71,0,,,68,11,6,12,10,14,3,37,289,548,38,3,14,0,4,37,21,108,3,177,44,4,125,21,14,73,4,17,25,,16,268,0,0,3,,117,32,9,11,,21
Lesotho,7,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liberia,3360,8,0,80,0,94,21,31,38,7,43,177,0,7,4,63,28,14,5,16,6,,289,142,38,444,,39,,10,9,16,282,0,148,122,10,64,16,10,575,0,137,10,12,25,148,0,0,8,0,85,29,3,15,0,28
Libya,173,0,0,,,32,3,0,0,0,6,6,0,0,0,8,,0,,,,,3,8,7,,0,6,0,,4,0,14,0,10,3,0,13,0,3,5,0,0,0,0,,10,0,0,0,0,5,4,,,0,3
Liechtenstein,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
Lithuania,843,0,0,,0,58,24,15,0,0,69,12,0,0,,366,,,,3,0,,7,19,8,5,0,,0,,14,,40,,52,14,0,23,,6,18,0,,4,0,4,10,0,0,4,0,14,21,0,16,0,2
Luxembourg,18,0,0,,0,,,,0,0,,0,0,0,0,0,0,0,0,0,,0,0,,,0,0,0,0,0,0,0,,0,0,,0,,0,0,,0,0,0,0,0,3,0,,0,0,,0,0,0,0,0
Macau,94,0,0,,0,54,,0,0,0,0,0,0,,0,,0,0,,0,0,0,0,5,,,0,0,0,0,3,0,,0,14,,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,4,0,0,0,0
Macedonia,682,0,13,5,,27,,38,0,,31,,0,0,0,84,31,3,,0,3,,,7,58,,0,,0,0,10,6,130,0,132,3,,19,0,0,5,0,,0,0,0,24,0,0,,0,6,3,0,18,0,10
Madagascar,55,0,0,,,6,,,0,0,7,,0,,0,0,0,0,0,,0,0,10,,,,0,0,0,0,0,0,3,0,6,0,0,0,0,0,,0,0,0,0,,,0,0,0,0,6,,0,0,0,1
Malawi,80,0,0,,,10,0,,0,0,6,5,0,0,0,3,6,,,,0,0,7,,3,0,0,,0,,0,0,,0,5,,0,0,0,,7,0,0,0,0,,7,0,0,,0,3,,0,0,0,0
Malaysia,1211,8,,14,4,334,14,6,,,48,56,0,14,,43,12,,6,8,10,0,15,25,13,18,,5,0,5,9,3,53,,155,16,0,17,14,9,35,0,4,3,,9,119,0,,5,0,26,52,0,7,0,4
Maldives,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
Mali,200,,,4,0,3,15,,,0,4,11,0,,0,,,,0,,0,,22,,4,,0,0,0,0,3,0,6,0,38,0,0,6,0,,35,0,3,,0,0,11,0,0,3,0,4,6,0,,0,5
Malta,46,0,0,,0,5,,,0,,,,0,0,0,0,,0,0,0,0,,0,0,9,0,0,0,0,0,0,0,,0,12,,0,0,0,0,,0,0,0,0,0,,0,0,,0,4,,0,,0,0
Marshall Islands,21,0,0,0,0,,,0,0,0,,,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,,,0,0,0,,,0,0,0,0
Martinique,14,0,0,0,0,0,,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0
Mauritania,281,0,,,0,3,6,0,,,,8,0,0,0,7,,,,20,,0,3,8,,0,,,0,0,4,0,3,0,75,3,0,78,,0,17,0,0,0,0,13,,0,0,0,0,13,0,0,,0,0
Mauritius,79,0,0,,0,12,,,,,3,4,0,,0,0,0,0,0,,,0,6,4,5,,0,0,0,0,0,0,12,0,6,0,0,0,0,0,3,0,0,0,0,0,8,0,0,0,0,5,0,0,0,0,0
Mexico,67062,191,42,3768,352,24446,1558,97,127,15,1637,1237,10,98,410,4134,543,304,601,149,141,8,230,125,487,370,113,314,19,350,1302,20,354,1164,761,838,7,233,518,917,374,47,23,170,19,321,14416,,0,674,,430,1641,21,515,81,337
Micronesia,84,0,,0,0,6,4,0,0,0,0,,3,8,0,,0,0,,4,0,0,0,0,0,0,0,,0,0,0,0,0,0,,7,0,0,4,,,0,0,,0,,10,0,0,,0,17,8,0,0,0,0
Moldova,1235,3,3,7,0,252,24,6,0,3,44,40,0,,,28,,6,,,3,0,20,85,5,29,,5,0,,,3,20,,125,28,0,10,5,50,42,0,,,0,10,15,0,0,7,,31,300,0,3,0,4
Monaco,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mongolia,157,,0,0,0,46,9,,0,,5,,0,,,17,,,0,0,0,0,4,,0,,0,,0,,,0,7,,6,0,0,,0,0,,0,0,0,0,,4,0,0,10,,17,3,0,7,0,1
Montenegro,167,0,0,,0,7,,,0,0,,,0,0,0,8,0,0,0,3,0,0,0,0,22,0,0,,0,0,,0,5,0,109,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0
Montserrat,57,0,0,0,0,0,0,,0,0,11,,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,,0,13,,0,0,0,0,0,,0,0,0,0,,0,8,0,0,,0,0,0,0,1
Morocco,3710,10,,30,,259,67,94,17,10,421,98,0,,0,163,32,12,7,23,11,0,94,436,23,24,8,28,,5,26,11,174,3,470,106,3,112,32,17,209,,27,37,,21,165,0,,,0,324,47,4,22,0,16
Mozambique,41,0,0,,0,5,,3,0,0,4,3,0,0,0,,0,,0,0,,0,,3,0,0,0,0,0,0,0,0,3,,,,0,0,0,0,,0,,,0,0,4,0,0,0,0,0,0,0,,0,0
Namibia,38,0,0,0,0,5,4,,0,0,,,0,0,0,0,,0,0,,0,0,,,0,,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,0,,4,0,0,0,0,3,3,0,0,0,0
Nauru,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0
Nepal,2185,15,3,14,,237,121,45,0,7,43,75,0,8,5,64,7,8,10,40,4,,161,141,30,41,,20,0,37,6,30,34,8,266,32,3,7,18,11,33,0,9,30,3,5,268,0,0,9,,200,46,,15,0,9
Netherlands,691,3,4,18,3,101,25,16,4,,66,25,0,7,,19,7,,,7,5,3,19,20,16,11,,6,,,8,,27,5,38,19,0,18,3,11,14,4,,4,0,4,52,0,,,,30,31,0,9,,8
Netherlands Antilles,56,,0,,0,,0,0,,0,21,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,5,0,7,0,0,0,0,0,,0,0,,0,,,0,,0,0,,,0,,0,0
New Zealand,495,4,,16,0,141,20,4,,4,20,10,3,13,4,13,3,4,,,4,,7,13,5,3,5,4,,0,7,4,11,6,26,11,,0,,10,5,0,,,0,4,30,0,,10,0,17,28,0,8,0,3
Nicaragua,4047,15,,27,9,814,22,15,,7,1999,43,0,8,,30,8,5,10,7,59,0,105,14,3,7,7,8,0,7,48,,94,4,115,84,0,13,7,8,25,7,4,10,0,12,208,0,0,9,,100,27,,9,,25
Niger,89,,0,0,0,,0,,,,3,,0,0,0,,8,,0,5,0,0,14,,3,0,0,0,0,,0,0,,0,7,6,0,7,,0,6,0,0,,0,,,0,0,0,,4,3,0,0,0,3
Nigeria,9126,35,7,94,15,723,47,62,61,47,257,784,0,9,4,508,114,19,42,28,46,5,1184,251,157,192,16,85,0,24,40,15,518,7,854,208,,175,74,21,261,0,63,53,,100,1539,,,10,3,151,60,4,51,3,94
Norway,91,0,,0,0,15,3,0,0,,5,,0,0,0,,0,0,0,,,,,0,,,0,0,0,0,4,0,4,0,10,3,,0,0,,,0,0,,0,0,11,0,0,0,,,14,0,,0,0
Oman,30,,0,0,0,,,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,4,3,0,0,0,,0,0,0,,0,0,3,0,0,0,0,4,,0,0,0,0
Pakistan,11601,51,,81,24,1361,68,162,39,6,450,436,,4,,863,64,27,61,57,82,4,441,175,281,97,21,130,,15,53,23,777,15,1777,194,,138,63,24,385,0,25,34,,54,1952,0,3,28,4,696,148,14,102,4,79
Palau,71,0,0,0,0,5,,0,0,0,,,4,11,0,,0,0,,,0,0,3,,0,0,0,,0,0,0,0,,0,,,0,0,4,,0,0,0,0,0,,7,0,0,0,0,12,6,0,0,0,0
Panama,1215,13,,19,7,104,10,6,3,3,256,91,,,,20,6,,6,5,14,,33,25,10,10,11,7,,3,13,,27,,146,45,0,7,8,4,14,10,,17,0,17,130,,0,5,0,48,26,,,,13
Papua New Guinea,16,0,0,0,0,,0,0,0,,0,0,0,3,0,0,0,0,0,0,0,0,,,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,,0,0,,0,0,,0,0,0,0
Paraguay,212,,,,0,16,3,11,0,0,24,3,0,0,0,3,0,0,4,0,0,,14,0,,,,,0,0,,0,22,0,70,3,0,,0,,,,0,0,0,0,10,0,0,3,0,8,0,0,0,0,2
Peru,8551,22,8,78,10,1264,94,179,13,22,2142,207,,30,16,152,42,7,19,36,28,9,281,160,28,35,10,25,15,18,81,11,1022,12,773,157,,76,55,32,124,27,15,27,6,26,368,0,0,121,5,436,113,11,41,3,55
Philippines,35465,105,257,601,61,14144,206,258,87,29,1512,378,424,1378,35,1710,191,74,87,102,103,39,871,218,334,174,66,225,12,44,1353,51,1860,83,1508,396,30,280,130,239,470,5,30,200,32,156,2176,5,22,98,6,929,1294,47,137,16,187
Poland,8038,8,7,91,,324,76,454,14,9,333,58,,16,5,2551,36,4,4,11,8,4,65,260,156,23,,19,,3,62,21,1040,6,1458,61,3,84,8,19,242,,35,14,8,27,124,0,0,11,12,73,66,3,65,0,51
Portugal,1266,,0,7,0,91,,72,,,65,10,0,,3,7,,4,,0,,0,21,267,7,,0,0,0,0,,4,376,,118,8,0,,3,,20,,81,6,,4,12,0,,0,0,26,6,0,,,20
Qatar,115,3,0,,0,21,,0,0,0,5,,0,0,0,3,0,0,5,,,0,3,,4,,,4,0,0,0,0,6,0,7,,0,5,0,,4,0,0,,0,3,22,0,0,0,0,3,3,0,0,0,0
Reunion,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
Romania,4385,17,4,162,6,546,62,51,18,9,332,210,,9,22,463,32,7,10,9,10,10,58,113,276,34,5,36,7,9,55,21,140,14,409,78,,204,15,110,160,,7,25,5,31,184,,0,9,6,89,245,6,22,,17
Russia,7566,23,33,74,11,1419,191,87,14,15,486,161,,20,27,283,54,24,24,26,11,17,183,421,109,120,9,74,12,18,90,29,330,17,1015,98,6,180,36,146,288,3,20,50,6,39,289,,,35,11,168,634,4,70,5,47
Rwanda,278,0,0,3,,19,,3,4,3,10,14,0,,0,9,7,3,0,5,3,,10,12,11,8,0,,0,0,,8,,0,21,10,,19,0,4,11,0,,,0,12,35,0,0,3,4,8,,0,,0,2
Saint Kitts-Nevis,305,,0,0,0,8,0,,,0,51,16,0,,0,,0,,3,0,0,0,10,6,,,0,0,0,,,,9,0,64,7,0,,6,0,,4,,,0,0,6,0,78,0,0,17,0,0,0,0,1
Saint Lucia,554,,0,,0,8,,21,10,0,87,17,0,,0,,,0,,,,0,18,13,3,3,0,,0,0,3,0,25,,174,7,0,,,0,4,,4,8,0,0,48,,62,0,0,14,,0,,0,4
Saint Vincent and the Grenadines,375,0,0,,0,6,,5,3,,37,18,0,,0,,0,0,,0,0,0,13,10,0,0,0,0,0,0,0,0,19,0,202,3,0,,,0,11,0,0,4,0,0,8,0,13,0,0,5,5,0,0,0,1
Samoa,154,0,8,,0,47,3,,0,0,3,,,28,0,0,,0,,,0,0,0,0,0,0,0,6,0,0,0,,0,0,,,0,0,,,,0,0,0,0,0,,0,0,23,0,,12,,0,0,2
San Marino,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sao Tome and Principe,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
Saudi Arabia,739,9,0,5,,109,6,11,,,38,10,0,0,0,51,3,3,3,3,3,0,18,25,46,11,,9,0,0,6,0,40,0,42,14,,35,7,5,27,0,,9,0,10,91,0,,3,0,49,17,,7,0,5
Senegal,633,3,,5,,31,11,4,0,8,18,58,,3,0,9,15,,,11,,0,57,21,16,12,,6,0,0,,0,17,3,108,17,0,57,,3,14,,20,,0,10,28,0,0,0,0,28,14,,7,,4
Serbia,27,0,0,,0,,0,0,0,0,3,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
Serbia and Montenegro,2653,4,,54,3,238,24,51,8,6,158,44,0,6,6,279,20,12,9,18,4,3,26,47,223,18,0,38,0,,28,7,133,3,750,29,5,65,6,17,48,,3,5,3,14,80,0,0,16,,34,26,3,46,0,28
Seychelles,12,0,0,,0,,,0,0,,,0,0,,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
Sierra Leone,1878,3,0,17,,100,11,6,18,20,31,103,0,,0,25,6,9,,7,,0,380,75,33,42,,25,,,,5,127,,175,26,4,88,3,5,149,0,,3,,10,120,0,0,6,0,176,28,3,4,0,21
Singapore,336,0,0,5,0,122,4,3,3,0,9,5,,4,,8,0,,3,,3,0,6,8,3,4,0,,0,0,5,,18,0,26,,0,6,,6,12,0,,,0,,32,0,0,,0,7,14,,,0,0
Slovakia,485,,,7,,49,20,18,3,0,52,12,0,,,36,3,,3,,,0,9,8,12,5,,,0,3,,5,88,0,60,,0,6,,,29,0,,,0,,6,0,0,,,11,6,,0,0,4
Slovenia,64,0,0,,0,14,,,0,,8,0,0,0,,3,,0,0,0,0,,,,,0,0,,0,0,0,0,5,0,6,,0,,0,0,3,0,0,,0,0,0,0,0,0,0,5,,0,0,0,0
Solomon Islands,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Somalia,5728,0,17,134,,323,78,12,0,,14,178,0,,24,127,29,14,12,56,6,136,33,159,58,2021,0,81,0,64,18,10,,,77,52,20,612,0,93,31,0,0,3,4,151,141,,0,65,18,134,617,0,57,0,42
South Africa,2550,8,7,73,4,403,60,44,8,7,259,228,,11,5,83,21,18,12,12,11,3,61,69,35,21,13,17,,6,26,6,82,10,108,94,3,44,10,24,82,0,4,23,6,42,263,0,0,22,6,75,79,5,29,,4
Soviet Union,2954,11,7,33,7,466,53,44,4,,170,63,,5,6,117,16,4,10,13,,8,100,88,49,38,7,15,,9,14,14,184,21,716,45,0,53,7,50,87,0,5,19,7,13,114,0,0,13,5,70,127,4,21,0,15
Spain,1115,4,5,14,,151,11,15,,13,211,24,,7,3,32,11,,,,,0,27,41,14,7,,13,,,7,,98,3,112,11,,14,3,14,29,20,,7,0,9,66,0,0,7,0,30,27,,7,,28
Sri Lanka,1421,6,0,17,0,334,6,16,,0,65,27,,4,3,44,4,5,7,6,,,102,64,29,37,3,3,0,4,27,5,93,0,196,22,0,36,5,14,54,0,3,5,4,,80,0,0,4,0,39,20,,15,0,4
Sudan,2885,17,5,140,,161,82,24,5,8,90,75,0,,16,89,27,116,18,18,9,58,74,38,65,108,4,60,0,124,11,37,39,,176,108,24,46,6,11,112,0,,12,33,81,262,,0,40,8,308,98,,18,0,16
Suriname,161,,0,,0,9,0,,3,,47,9,0,0,0,0,,0,0,,0,0,5,,,0,0,0,0,0,0,0,7,,51,3,0,,,0,5,0,0,0,0,0,3,0,0,0,0,,,0,0,0,2
Swaziland,8,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
Sweden,774,,,7,,190,27,8,,7,94,19,0,9,,15,4,,4,,,,13,39,8,9,0,4,,,7,5,27,4,53,31,0,5,5,9,17,,0,,0,5,42,0,,8,0,26,33,,10,,8
Switzerland,484,,,12,0,115,18,9,,4,43,8,0,4,,11,,0,,3,,,13,25,5,7,0,,4,0,6,,27,6,38,6,0,4,4,5,6,3,3,8,0,,23,0,0,,,11,20,,4,,2
Syria,2029,10,0,31,5,586,13,12,,9,145,24,0,,0,153,20,4,9,3,16,3,20,75,93,4,3,5,0,3,9,5,98,3,179,26,0,68,21,9,125,0,24,,0,19,85,0,,,,44,17,15,6,,21
Taiwan,5621,19,8,58,15,2683,35,18,8,,130,116,14,36,3,108,26,8,24,12,13,7,102,100,64,45,3,40,0,,21,11,228,16,403,66,,76,12,51,108,0,,28,,14,488,0,0,24,,84,232,5,32,,15
Tajikistan,178,0,0,,0,25,8,,0,0,4,,0,0,0,0,0,0,0,0,0,0,6,5,,3,0,,0,,,,10,,60,0,0,3,,12,4,0,0,0,0,0,9,0,0,0,0,4,12,0,0,0,1
Tanzania,466,4,0,,3,51,4,5,4,3,29,28,0,0,0,18,,3,10,,0,0,26,26,3,15,0,10,0,,,6,20,5,16,14,0,14,,,20,0,5,,,9,63,0,0,,0,14,16,0,5,0,1
Thailand,4112,19,14,55,15,1130,63,23,11,6,261,89,11,46,7,112,29,11,19,20,17,17,74,174,50,167,9,50,,9,104,24,52,20,172,102,,47,32,73,70,0,14,23,3,30,274,,,34,7,147,189,4,144,,32
Togo,1253,8,0,16,,28,13,29,,7,22,127,0,3,,104,21,14,4,13,4,,148,12,5,94,,15,0,60,3,,65,0,138,67,6,40,3,6,43,0,,4,0,6,41,0,0,4,,44,6,,13,0,6
Tonga,208,0,3,6,0,104,,0,0,0,,0,,19,,0,0,0,0,,0,0,0,0,0,0,0,,0,0,7,0,0,0,,0,0,0,0,,,0,0,0,0,0,3,0,0,41,0,,6,0,0,0,4
Trinidad and Tobago,4740,19,,18,5,106,10,51,17,27,820,171,,6,0,46,19,4,5,14,22,,298,136,18,14,10,13,0,,9,0,344,5,1839,55,0,29,20,3,179,,9,23,,14,174,0,21,0,0,98,17,,8,,34
Tunisia,407,3,,4,0,60,6,4,0,4,62,12,0,0,0,13,5,0,0,,0,0,8,5,8,5,,7,0,0,7,0,13,,32,7,,18,0,,41,0,,5,0,5,16,0,0,,0,33,8,,3,0,2
Turkey,3213,11,,31,,470,36,67,38,10,247,93,0,4,0,99,26,5,10,10,12,3,60,122,41,14,5,17,5,7,15,17,420,12,523,62,,50,13,24,148,3,9,15,,27,169,0,0,8,0,124,70,5,19,,31
Turkmenistan,138,0,0,3,0,21,,3,0,4,14,6,0,0,,5,,0,0,0,,0,7,6,3,,0,,0,0,0,,,0,23,,0,4,0,3,,0,0,0,0,,,0,0,,0,3,5,0,9,0,0
Turks and Caicos Islands,20,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U.S. Virgin Islands,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uganda,637,4,0,13,,72,19,11,0,,26,22,0,,,17,12,5,,,5,0,59,109,9,15,0,5,,0,,0,23,,27,10,0,5,10,3,14,0,,11,,7,52,0,0,,0,29,16,,8,0,4
Ukraine,7345,15,17,38,8,1074,112,90,9,13,340,101,0,19,26,596,31,25,14,32,,9,123,230,110,94,10,69,9,19,40,21,366,10,1271,98,3,201,32,229,406,0,5,38,13,25,151,0,0,21,,126,954,4,56,4,28
United Arab Emirates,404,6,0,11,0,66,3,3,3,0,29,10,0,0,0,27,,0,,0,3,0,10,11,21,7,0,,0,0,0,,17,,22,8,0,11,3,5,17,0,0,,0,,73,0,,0,0,11,8,,3,0,2
United Kingdom,8401,45,16,187,22,1510,176,168,47,37,990,313,4,35,23,252,53,25,26,30,34,25,173,335,181,64,11,51,13,13,75,54,354,41,568,247,5,152,26,98,259,3,39,77,,69,688,,6,40,17,295,287,16,56,13,54
United States,45,,,0,0,9,,0,0,,4,0,0,0,,0,,0,0,0,0,0,,0,,0,0,0,,,0,0,,0,3,,0,,0,,,0,0,,0,,6,0,0,,0,,3,0,0,0,0
Uruguay,585,0,0,4,0,38,3,8,0,4,174,40,0,0,0,10,4,0,3,,,0,9,25,,,,,0,0,,3,84,0,57,3,0,4,,,13,6,,6,,,28,0,0,10,,17,5,0,,0,6
Uzbekistan,1472,4,,15,,185,30,11,,,75,41,,,14,45,4,,4,11,,0,56,36,11,6,,13,,3,4,,67,3,510,8,4,31,6,18,86,0,,6,0,9,27,0,0,3,0,27,72,0,6,0,3
Vanuatu,,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Venezuela,5243,17,4,39,6,219,46,39,13,7,2596,187,,8,5,68,29,6,21,18,39,,62,93,30,29,4,30,,6,20,7,149,4,245,111,0,59,32,13,77,62,13,30,0,36,532,0,,48,0,82,47,4,18,,27
Vietnam,19313,99,9,379,81,6513,266,114,17,15,802,781,9,114,17,297,87,124,158,73,336,36,273,661,203,291,93,223,0,99,125,29,299,83,363,388,8,152,206,317,599,,16,96,4,136,2521,0,0,68,12,557,975,17,76,,92
Western Sahara,,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yemen,1186,20,,3,4,202,6,17,14,0,3,8,0,0,0,36,10,0,,4,16,0,5,4,306,13,11,9,0,,,0,11,0,344,25,0,7,0,,5,0,0,3,0,21,10,0,0,,0,31,10,,,0,16
Zambia,317,5,,8,,31,5,3,,0,24,25,,,,17,9,,3,,0,,25,7,9,6,0,7,,,,0,9,,10,5,0,,,3,10,0,0,4,0,6,33,0,0,0,0,9,17,3,3,0,1
Zimbabwe,546,5,,15,,47,5,4,4,,50,36,0,,,11,15,0,10,6,,,10,21,16,7,,8,0,3,,7,10,5,20,23,0,10,,,22,0,0,4,,8,102,0,0,4,,21,15,,,0,1
Unknown,326,3,0,4,1,53,3,0,0,1,27,2,0,0,0,30,9,0,4,1,7,0,2,1,16,2,2,4,0,1,3,1,14,1,15,9,0,27,3,0,2,4,1,1,0,7,34,0,2,2,0,9,4,0,4,0,10
