Origin	Total	Alabama	Alaska	Arizona	Arkansas	California	Colorado	Connecticut	Delaware	District of Columbia	Florida	Georgia	Guam	Hawaii	Idaho	Illinois	Indiana	Iowa	Kansas	Kentucky	Louisiana	Maine	Maryland	Massachusetts	Michigan	Minnesota	Mississippi	Missouri	Montana	Nebraska	Nevada	New Hampshire	New Jersey	New Mexico	New York	North Carolina	North Dakota	Ohio	Oklahoma	Oregon	Pennsylvania	Puerto Rico	Rhode Island	South Carolina	South Dakota	Tennessee	Texas	U.S. Armed Services Posts	U.S. Territories	Utah	Vermont	Virginia	Washington	West Virginia	Wisconsin	Wyoming
Malaysia	2605	6	3	54		400	38	19	3	4	62	127		4	6	66	145	39	48	50	21		63	44	70	42	6	24	3	11	11	4	77	0	377	75	3	46	50	23	42		4	8		39	339	0	0	24		27	62	3	25	0
Maldives		0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mali	734	0		4		12	31		0		4	22	0		0	8	7	4		5	4		37	5	10	0	0		0		0	0	16	0	322	17	0	25	0		104	0	8		0	6	33	0	0		0	10	20		3	0
Malta	62		0	3	0	7	0	0	0		3	4	0	0		0	0	0		0	0		0			3	0	0	0			0	0	0	8	3		0		0		0	0		0	0	4	0	0		0		5	0	3	0
Marshall Islands	50	0	0	0			0	0	0		7	0			3		0	0	0	0	0	0	0	0		8			0	0	0	0		0	0	0	0		0	3	0	0	0	0	0		0	0		12	0	0		0	0	0
Mauritania	410	0	0	3	0		10		0	3	0	14	0	0	0	9	7	0	0	33	8	0	11	4	3	3		3	0	0	4	0			95		0	108	0	0	28	0		0	0	25	7	0	0	0		18	3	0	0	0
Mauritius	77	0		5	0	13			0			0	0	0	0		0				0	0	3	5	0		0	0	0	0				0	8		0				4	0	0	0	0	0	6	0	0		0	5	4	0		0
Mexico	146406	561	75	8075	961	49595	3316	255	175	52	3505	2854	0	74	810	8079	1250	777	1298	324	473	16	407	254	1175	800	317	660	34	927	2524	38	833	2202	1910	2037	47	572	1318	1656	821	79	41	478	54	1031	37852			1334	7	792	2408	27	1142	100
Micronesia, Federated States	13	0	4	0	0		0	0	0	0		0				0		0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0
Moldova	2021	16	14	13	6	312	35	13	5		222	46	0		4	105	9	0	0		24	7	41	124	20	70	4	10	3	0	26	5	40		230	85	6	32	5	55	62	0		9		13	40	0	0	14	24	52	188		21	
Monaco		0	0	0	0		0	0	0	0		0	0	0	0		0	0		0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mongolia	691	0	5		5	213	55	4	0	4	4	5	0	9		98	10			5		0	9	6	0	4	0	5	0			0	8	0	16	4	0	4			5	0			0	6	5	0	0	6	0	121	47		10	0
Montenegro	265	0	0			10	0		0	0	11		0	0	0	14		0	0	0	0	0		4	23	0	0		0	0	3	0	16	0	162		0		0	0		0	0	0	0	0		0	0	0	0		3	0	0	0
Montserrat	27		0	0	0		0	0	0	0			0	0	0	0	0	0	0	0	0	0		0	0	0	0		0	0	0	0	4	0	10	0	0	0	0	0		0	0	0	0	0		0		0	0	0	0	0		0
Morocco	3656	14	0	20	8	223	55	110	14	13	369	81		4		138	34	7	4	25	17	3	65	506	24	29	13	12	6	9	27	15	227	4	525	114		92	23	14	192	3	29	21	0	13	145	3		4	3	319	48	9	17	
Mozambique	94	0	0	0		6		0	0		5		0		0	3	0	3	0			0				3	0		0	0	0	0	4	0	8	3		6	0	3	3	0			0	0	13	0	0	0	4		9	0	0	0
Namibia	59	0	0	4				0		0	3		0	0			0	0	0	0	0	0	4	3			0		0		0	0	3	0		5	0	0			0	0	0	0	0		7	0	0	0	0		4	0		0
Nauru	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0		0	0	0
Nepal	11312	45	20	218	21	916	522	135	5	19	91	403	0	23	71	347	27	46	71	154	27		640	573	135	171	4	70	6	105	24	214	136	25	1486	283	93	253	44	87	706	0	39	12	90	117	1367			131	72	880	297	10	72	4
Netherlands	1091	4		19	3	203	14	15	3	13	95	40	0	6	0	37	7	4	16	6		9	24	34	17	12	6	8	6	3	4	3	32	4	119	20	5	26	4	18	25	5		10		8	86	0		11		18	65	0	14	
Netherlands Antilles	106		0		0	4	0	3	0	0	27		0	0	0	4	0	0	0	0	0		4	5	0	0		0	0		0	0	14	0	16		0	0	0	0	3		0		0		7	0	6	0	0		0	0	0	0
New Caledonia		0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
New Zealand	814			16		209	35	13	0	4	34	9	0	14	6	25	3	6	3	3	4	7	19	14	11	11		18	5	3	13	4	18	5	67	10		16	8	19	13	0	5	4		14	51	0	0	19	5	13	42	4		
Nicaragua	3046	10		10	8	544	19	23		5	1432	33	0			31	17	6	7		44		62	20	8	10	4	9	0	0	45		79	4	116	56	0	7	5	13	19	18		16		12	241	0	0	11		61	17	0	11	
Niger	48	0	0						0				0	0	0		4		0	0	0	0	5	0	0	0	0	0	0	0	0	0		0	10	8	0		0	0	6	0	0	0	0	0		0	0	0	0	0	0	0	0	0
Nigeria	13575	67	8	142	19	1023	78	99	66	83	371	995	0	4	11	749	291	14	51	43	70	7	1540	412	195	271	16	115	4	19	51	21	771	37	1491	273	9	235	100	42	369		92	48	7	180	2602			15	3	270	92	7	90	3
Niue		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Norway	276	0	0		0	55	4	5	0		33	7	0			0					6	0	3	9	4	4	0	0	3	0		5	10	0	23	4				5	6		0			3	39	0	0		0	4	20	0		0
Oman	74	0	0		0	5			0	0	0	0	0	0	0		4	0	0	0	0	0	0	3	3	0	0	0	0	0			5	0	12	0	0	3	0	0	4	0	0	0	0	0	19	0	0	0	0		4	0	0	
Pakistan	14740	45	4	91	30	1731	67	270	53	11	478	377	0	15	10	963	77	34	52	42	100	4	630	311	333	87	22	118	6	16	60	29	1038	19	3229	245		177	74	33	429		29	41	4	68	1877	0	0	73	7	989	208	28	93	9
Palau	10	0	0	0	0	0		0		0	0	0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			0	0	0	0	0		0		0	0	0		0	0	0
Panama	1281	16	6	9	6	83	10	6	5	4	301	55	0	4	4	25	6	3	5	8	17	0	33	20	4	5	8	16			14		37		208	49	0	7	8	7	24	17	4	9	0	11	133	0	0	9		53	16	3	6	0
Papua New Guinea	21	0	0	0	0	4	3	0	0	0		0	0	0	0		0	0	0	0	0		0	0		0	0	0	0	0	0	0		0	3	0	0	0	0		0	0	0	0	0	0		0	0	0	0			0	0	0
Paraguay	467	0	0	4		15	3	7	0	3	77	6	0	0		5	0		6	5	0		22	12			0	0	0	3			30		197	5	0			0	3		0	0		4	14		0	4	0	16	4	4		0
Peru	12609	41	20	81	20	1644	149	419	20	33	2619	318	0	15	30	169	64	22	38	24	31	3	409	182	61	49	18	52	6	25	117	14	1749	33	1453	213	0	94	63	44	177	36	22	33	9	69	609	0	0	261	12	850	99	17	68	5
Philippines	57327	145	600	849	164	22484	350	327	86	97	2372	527	1152	4037	91	2377	345	115	207	165	250	57	1257	311	505	309	122	322	48	62	1869	68	2319	190	3231	597	38	529	173	407	555	11	53	240	55	346	2778	33	493	135	28	1315	1804	68	216	43
Poland	6300	5	6	38	5	237	42	367	6	10	266	39	0	10	7	2138	21		8	15	11	6	56	133	106	11	3	14	4	4	22	12	702	6	1407	37	8	43	8	10	152	0	22	14		9	115		0	12	7	57	39		43	
Portugal	811	0		4		78	10	33			58	17			0	14	0	3			3	0	11	161	3		0		0			5	174		104		0	4	0		10		46			0	19	0	0	4		14	4	0	5	0
Qatar	141	4	0	0	0	26	3		0	0	5	5	0	0	0	5	3	0		0		0	5	5	7	0	0		0	0	0	0	5	5	28		0	4	0	0	0	0	0	0	0		12	0	0	0	0	5	6	0	0	0
Romania	3748	20		141	10	437	29	54	13	10	356	155	0	5	13	433	31	8	8	11	21	9	65	74	219	17	4	22	4		56	16	116	8	470	73		113	6	80	93	5	6	24	0	35	158	0	0	12		104	164	4	20	11
Russia	9969	47	43	65	18	1582	184	133	34	45	756	185		26	29	370	70	31	38	34	42	27	253	412	138	121	17	80	9	15	86	28	560	18	1977	168	8	221	30	122	356	7	27	85	8	79	383		4	49	12	328	480	19	94	12
Rwanda	592	0	0	26	0	16	18	3			14	11	0	0	3	21	15	13		11	0	26	25	15	18	5	0	9	0	3		10	8	6	48	13	12	43		12	17	0			3	7	94	0	0	17	3	14	12	0	11	0
Saint Helena		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0
Saint Kitts-Nevis	311		0	0	0			8	0		45	9	0	0	0	5	0	0	0	0	0		14	6		0	0		0	0		0	9	0	74	8	0			0		3		0	0		5	0	105	0	0	4	0	0	0	0
Saint Lucia	919		0	5		12		38			98	19	0	0	0	5	3	0	0		6	0	22	15		0	0	0	0		3		30	0	469	10	0	6	4		11	0	0	10	0		39	0	79	0	0	13	0	0	3	0
Saint Vincent and the Grenadines	503		0	0	0	10	0	4			40	3	0		0		0	0		0	5	0	12	8	0		0	0	0	0	0	0	26	0	318	6	0	5		0	22	0		0	0	8	6	0	6	0	0	8	3			0
Samoa	238	0	16		0	78	3	0	0	0		0		40	0	0		0	0		0	0	0	0	0	0	0	8		0	3	0	0	0		0	0	0	0	5	0	0	0	0	0	0	5	0		29	0		38		0	0
Sao Tome and Principe	12	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Saudi Arabia	1343	10		22	4	169	21	11	3	4	78	29	0		6	108	6	11	12	11	10		22	35	51	20	4	16		4	3	0	69		138	21	0	53	12	19	39	0		0	0	20	154	0	0	6	3	103	18		6	
Senegal	1615	5	4	8		37	25	12		10	24	92	0		0	26	34	5	4	32	10	0	104	21	36	13		17		4	3		59	5	495	56	0	181	6	3	57	0	34	5	0	41	62	0		3		34	22		12	0
Serbia	704			10		84	8	3		9	73	5	0	4		108	10	5	0	3			26	14	14	4		12		0	18		36	0	101	5	0	11	3	6	23	0	0	3	0		21	0	0			34	22	0	9	
Serbia and Montenegro	801			12		64	5	20	3		35	4	0	6		92	4		0				22	16	50	4	0	8			6		42	0	243		4	15	4	5	31	0	0		0	6	35	0	0	3		14	16	0	8	0
Seychelles	7	0	0	0	0		0	0	0	0		0	0	0	0	0		0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0
Sierra Leone	1688		4	21	0	102	14	7	20	11	18	52	0		0	13	6	5	3		7	3	324	52	17	32		19	0		3		105	0	198	37	5	76			178	0			0	8	90	0	0	3	0	217	12	0	9	0
Singapore	712		0	11	0	202	9	10	4	6	17	13	0	4	5	21	6		0	0			8	22	7	7		5	0		9	3	30	0	101	7	0	12		11	26	0	0	0	0	3	78	0	0	4		19	33		6	0
Slovakia	528			5	0	65	11	14			42	12	0		0	41	4	6	0			0	12	7	8	4	0	0		0			99		88	9	0	7		6	15	0		3		7	19	0	0	3	0	16	4	0	4	0
Slovenia	86	0	0		0	8			0	3	11	4	0		0	8		0			0	0		3	0				0	0		0			14		0	4		0	0	0		0	0	0	4	0	0		0	0	5	0	0	0
Solomon Islands		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0
Somalia	5204	3	10	105	0	150	280	10	0		4	70	0		13	62	19	67	94	109	5	167	10	160	45	1421	0	180	0	210	5				177	36	60	464	0	135	49	0	0		20	112	268	0	0	71	27	65	412	0	94	4
South Africa	2781	15	6	54	13	456	63	56	9	10	291	145	0	6	4	88	13	20	31	25	17	7	47	74	36	42	10	29	6	10	16	10	72	3	214	112	16	48	20	28	71		4	27	12	52	236	0		34	0	91	79	5	38	7
South Sudan	17	0	0	0			0	0	0	0	0	0	0	0	0		0		0	0	0	0		0	0		0				0		0	0		0	0	0	0	0		0	0	0	0	0		0	0		0	0		0	0	0
Soviet Union, former	1296	3		10	4	223	17	14		3	136	19	0	4	3	43	0	7	3		10	3	31	52	11	7	3	5		6	13	5	53		358	17	0	17	3	16	41			5	0	13	33	0	0	5	4	24	53		3	
Spain	1842	3		9	4	293	27	20		24	455	27	0		8	49	11	11	7	14	4		29	70	20	11		10		6	17	8	73	3	240	17		14	4	11	38	36	11	15		5	123	0	0	15	3	34	40		8	0
Sri Lanka	1994	4	0	11		455	5	32	8	12	53	58	0	0		59	13	5	19	12	6	3	118	49	25	25		4		13	25		147	0	439	17	4	41	8	5	36	0	3	4		14	150	0		4	0	50	34		11	0
Sudan	2471	23	4	59	0	121	89	21		11	57	62	0	0	4	96	38	87	5	15		27	75	43	61	63	9	52	0	144	6	25	44		234	117	21	45	9	4	120	0			53	41	188	0	0	34		281	47		25	0
Suriname	187	0	0		0	9	0			0	33	4	0	0	0	0		0	0	0		0	5		0	0	0	0	0	0		0	9	0	100	5	0	4		0		0	0	0	0	0	3	0	0	0	0			0	0	0
Swaziland	24	0	0		0		0	0	0		3		0	0	0	0	0	0	0	0	0				0		0	0	0	0	0	0	4	0	5	0	0	0	0			0	0	0	0	0		0	0	0	0	0	0	0	0	0
Sweden	968		5	17		248	20	18	0	9	90	17	0	5		18	10		6				16	34	8	8	0	7		0	0	3	33	6	136	21	3	13	4	16	28				0	3	73	0	0	11	0	19	39	0	8	
Switzerland	635		6	13		136	5	23		3	65	7	0	10	3	8	7		0		3		9	19	17	7					4		36	5	116	15	0	5	0	7	20	0	3	4	0	4	23	0	0	5	0	11	19			0
Syria	3014	15		64	8	813	23	21	3	4	197	35	0	0	3	298	17	5	19	18	8	6	24	80	219	23	5	27	0		14	10	191	6	157	42		83	23	26	151	0	34	5	0	22	160	0	0	9		85	32	5	18	0
Taiwan	5331	24	5	51	9	2409	42	37	10	10	125	65	8	39	13	121	54	6	16	18	13	4	105	135	64	38	6	54		5	37	5	172	10	486	79		68	26	47	86		3	6	5	17	383	0	0	33		111	231	6	27	
Tajikistan	411			0		35	38		0	5	10	3	0	0	0	12		0		0	0	0	9	3	3			4	0	20	5	0	14		152	4	0		0	5	22	0	0	0	0		12	0	0			32	6	0		0
Tanzania	1516	14	0	35		93	30	4		6	43	58	0		9	51	12	40	31	52	5		70	62	33	29	0	28	0	11	7	25	23	8	129	30	18	65	4	16	40	0	9	9	30	31	251	0	0	22	8	32	20		15	0
Thailand	9459	19	34	222	36	1337	228	115		17	367	313	6	75	56	288	209	194	93	146	22	16	91	233	113	560	6	106	7	278	127	14	108	16	889	347	11	134	29	168	180	0	21	59	74	96	962		28	224	13	217	349	7	185	7
Togo	1756	10		24		32	25	59	8	19	32	116	0	0	0	212	12	23	8	4	6		194	29	4	107		17	0	84			56	0	316	64	7	31	3	3	70	0	6	5	0	16	38	0	0	9		69	17	0	10	0
Tonga	276	0	8	10		125	4	0	0	0	5		0	39	0	0	0	0	0	0	0	0		0	0	0	0	0	0		3	0	0	0	0	0	0	0	0	3	0	0	0		0		12	0	0	47	0	3	10	0	0	0
Trinidad and Tobago	5214	9	3	12	6	70	11	34	4	19	703	115	0	3	0	18	17		4	10	23		232	136	18	18	3	3			8	0	337		2822	55		26	6	3	153		14	10		10	180	0	11	7	3	73	7	3	4	0
Tunisia	422	3	0	4		53	5	4			60	8	0			12	8			0	6		14	9	10	7		9	0	0	4	0	23		46	7	0	10			33	0	0		0	8	20	0	0			26	6		3	
Turkey	4162	20	4	43	21	528	31	86	40	26	293	85	0	4	4	143	30	15	7	14	23	4	89	139	42	35	7	29	3	5	16	22	521	7	847	53		87	23	25	126		17	9		30	297		0	15		181	86	4	17	
Turkmenistan	223	0	0	3		25			0	0	22	9	0	0	0	11	0	0	0	0			4	3		0	0		0		3	0	12		74	0	0		0	0	4	0	4		0		14	0	0	0	0	7	4	0	8	0
Turks and Caicos Islands	30	0	0	0	0		0	0		0	21	0	0	0	0	0	0	0	0		0	0			0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0
Tuvalu		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
U.S. Virgin Islands		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Uganda	1340	19	3	18		125	29	6	0	10	28	42	0	0		56	16	10		3	5	7	100	298	22	36		12		7	4	0	35	10	34	44	4	41	15	19	30	0	9	10	0	24	107	0	0	7	0	37	43	3	5	0
Ukraine	7642	40	16	44	15	878	104	172	6	12	337	138	0	13	24	793	35	16	18	29	26	12	136	187	208	77	13	45	5	25	46	31	443	16	1680	136	16	202	25	121	421		11	45	13	33	187	0		36	4	186	499	6	55	3
United Arab Emirates	854	5		9	3	135	3	7	0	4	37	27	0	0	0	51	5	3	3	4	8	3	34	19	51	20		10	0				34	0	89	9	4	35	3	5	24	0			0	13	111		0	3	0	38	27	0	5	0
United Kingdom	12014	39	13	170	43	2090	179	282	17	66	1193	352	0	32	26	410	175	37	67	51	54	34	225	409	264	109	33	83	18	14	105	57	434	34	1507	323	6	245	57	142	333	8	38	103	19	121	1070	0	3	126	22	283	381	22	80	10
United States	279		0	7	0	50	4		0	8	14	7	0			9	3	0			3	0	10	4	3			4	0	0	5	0	15	4	37	6	0	0	3		10	0	0	0	0	3	33	0		4	0	16	5	0	0	0
Uruguay	1374	8	0		0	62		31		4	472	111	0		0	10	8	0	0			0	11	58				3	0	0	14	3	228	0	137	23	0	10	0	4	23	5		15	0	4	43	0	0	26		24	8	5	6	0
Uzbekistan	4726	3		23		284	52	29		3	205	48	0	6	28	43	7	9	4	22	5	3	112	37	35	19	4	26		9	9		103	0	2857	40	7	130		19	257	0		30		79	42	0	0	5		62	44		6	4
Vanuatu		0	0		0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0
Venezuela	9387	29	13	40	6	269	55	62	11	11	5224	239	0	4		89	40	7	18	25	47	3	93	124	52	25	8	21	3	15	36	8	158	13	519	148		76	49	13	99	141	23	48		66	1093	0	0	110		160	45	4	38	
Vietnam	28304	153	14	440	90	9714	437	158	12	19	1278	914	7	152	32	476	155	237	250	77	401	58	422	944	327	530	118	276	5	201	146	49	419	88	528	806	32	262	282	483	825	4	31	79	26	213	3691		3	139	18	813	1356	17	94	
Western Sahara		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Yemen	2620	25	0	10	7	359	21	17	10		6	14	0	0	0	77	15	4		5	37	5	12	4	496	45	35	6	0	0		0	18	0	1132	70	0	17		27	8	0	0	7		33	27	0	0			34	22		0	4
Zambia	643	3	0	21	0	48	17	8		3	27	70	0	0		38	15	3	3	18	6		15	12	13	19	3	7		3	5		17	0	48	18		19	6	7	20	0		3		12	78	0	0		0	19	23	0	3	0
Zimbabwe	914		0	13		51	17	5	0		43	47	0	0		16	29	5	11	12	4		47	44	24	8	0	11	0	6	4	12	18		54	39	4	43	13	6	45	0	0	0	0	4	202	0	0	7		37	16	5	3	0
Unknown	1206	6	1	16	6	137	11	9	0	3	86	25	0	5	3	133	23	4	3	17	32	0	38	16	31	8	6	14	1	2	2	6	45	1	170	54	0	48	4	4	48	5	3	4	0	23	85	0	7	3	1	21	15	0	21	0
