Origin	Total	Alabama	Alaska	Arizona	Arkansas	California	Colorado	Connecticut	Delaware	District of Columbia	Florida	Georgia	Guam	Hawaii	Idaho	Illinois	Indiana	Iowa	Kansas	Kentucky	Louisiana	Maine	Maryland	Massachusetts	Michigan	Minnesota	Mississippi	Missouri	Montana	Nebraska	Nevada	New Hampshire	New Jersey	New Mexico	New York	North Carolina	North Dakota	Ohio	Oklahoma	Oregon	Pennsylvania	Puerto Rico	Rhode Island	South Carolina	South Dakota	Tennessee	Texas	U.S. Armed Services Posts	U.S. Dependencies	Utah	Vermont	Virginia	Washington	West Virginia	Wisconsin	Wyoming
Morocco	5013	22	0	29	4	267	82	148	18	36	540	93	0		0	204	42	10	19	37	14	10	95	601	52	47	15	19		7	18	12	319	5	702	195	0	153	45	14	277		25	48		27	220	0	0	9		453	44	3	26	0
Mozambique	53	0	0		0	12	0		0	0	3		0	0	0	0		0	0	0	0	0	3		0		0	0	0	0		0	6	0	3	0	0	3	0			0	0	0	0		4	0	0	0	0		3	0	0	0
Namibia	60	0	0		3	6	0	4	0	0	4	3	0	0	0		0	0	0	0	0	0	3		3	0		3	0	0	0	0	0		5	0				0		0	0	0		0	3	0	0					0	0	0
Nepal	7115	42		141	7	837	386	95	4	11	121	239	0	5	63	143	18	40	63	101	32	10	377	377	105	98	4	54		73	33	166	93	24	872	117	51	127	22	74	182	0	23	4	14	38	876			98	46	556	190	8	43	6
Netherlands	1321	9		12	4	223	23	30	3	11	122	44	0	6	7	43	19	5	7	9	5		26	46	28	21	0	12	3	3	7	7	39	8	146	22		24	7	19	30		6	8		8	160			3	0	27	55		13	0
Netherlands Antilles	77	0	0	0	0	3	0	0	0	0	25	6	0	0	0		0		0	0	0	0			3	0	0	0	0	0	0	0	5	0	12	0	0	0	0	0		3		0	0		0	0	11	0	0	0	0	0	0	0
New Caledonia	6	0	0	0	0		0	0	0		0	0	0	0	0	0		0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
New Zealand	919	5	3	19		179	48	15			31	9		33	5	23	8	6	5	5	5		26	19	13	8		15	4	3	14	4	19	8	85	27	0	20	9	18	15	0	4	7		9	46	0	0	28	3	26	63	3	12	
Nicaragua	3565	4		23	9	825	13	13	0	16	1582	47	0		3	22	15	6	6	10	32		83	20	7	12	5	16	0	3	56		103	4	132	48	0	27	8	11	20	16		14	3	7	195	0	0	11		80	27		19	
Niger	96	0	0	0	3		0		0		0	0	0	0	0	3	8	0	0	0	0	0	9	0	8			0	0	0	0	0		0	14	17	0	5		0	15	0	0	0	0	0		0	0	0				0		0
Nigeria	13376	43	5	103	35	1005	70	104	67	79	393	936	0	6	10	667	236	15	41	35	75	7	1750	397	185	300	32	154		10	48	22	875	15	1513	326	18	248	75	60	340	0	98	45	3	122	2396			12	13	224	75	10	68	4
Norway	334	4		3		49	14	10	0		31	8	0	4	5	5	0		0	3	6	0	5	13	0	7	0	10	0	0			12	3	36	3		6		9	5	0	0	0		4	44	0	0			5	15	0	3	0
Oman	63		0	0	0	10	0	0		0	4		0	0	0	6	0	0	0		0	0	6		0		0	0	0	0	0	0	0	0	6		0			0	4	0	0	0	0	0	8	0	0	0	0	6		0	0	0
Pakistan	18258	65	14	88	33	2173	72	351	68	25	687	440	0	8	8	1139	131	61	97	58	83	7	773	358	367	126	25	203		13	75	33	1402	22	3738	299	9	233	87	29	468		33	67	7	113	2498	0		74	3	1263	184	26	115	3
Palau	18	0		0	0	5	0	0	0	0		0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0			0	0	0	0	0	0	0	0	0	0		0			0	0	0	0	0	0
Panama	1536	8	4	19	7	143	11	7	5	9	339	72	0	4		20	10	3	7	4	21	3	31	28	17	14	21	10	3		16		36		258	50	0	15	10	5	23	14	3	25	0	26	125	0		3		61	28	0	5	
Papua New Guinea	30	0	0		0	6		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6		0	0	0	0		0	0	0	0	0	0	0	0		0		7	0	0	0	0	0		0	0		0	0		0	0	0
Paraguay	467	5	5	0		20	7	13	0		79	10	0	0	0	7		5	5	4	3	0	27	5	4	0	0		0			0	44	4	145	3	0	4		0	4	4	0	0			16	0	0	4	0	21	5			0
Peru	14247	26	15	106	14	2001	188	391	23	30	3207	283	0	15	39	189	52	28	35	37	34	5	488	168	44	64	14	84	13	25	144	16	2029	24	1630	225	3	126	56	54	191	54	27	52	5	63	611	0	0	280	7	764	143	23	86	16
Philippines	58173	181	607	779	164	24082	331	277	79	65	2320	460	1103	4515	114	2124	340	149	213	173	207	70	1254	327	475	320	127	276	57	85	2109	86	2321	178	2361	518	28	512	200	457	582	4	66	277	52	307	2545	38	361	184	29	1462	1843	69	264	46
Poland	7643	7	11	54	4	331	76	393	7	11	306	45	0	9	6	2426	38	11	8	5	6	7	75	167	153	22	6	29	3	3	44	10	945	11	1706	44	3	62	5	20	189	3	27	21	5	19	101		0	5	8	74	54	4	61	
Portugal	755	3	0			94		40			44	10				6	4	0		0		0	12	132	7	3	3		0	0	0	8	166	4	112	5			3		16		20		0		10	0	0			16	7		0	0
Qatar	148	4	0	0	0	24	3		0	0	7		0	0	0	16		0	3	0		0	4	3	4		0	5	0	0			10	0	18	0	0	3	0		8	0		0	0		12	0	0	0	0	8		0		0
Romania	4003	23	4	117	15	486	56	68	13	11	344	163	0	8	15	426	32	13	21	9	35	12	79	87	178	28	10	38			83	16	134	12	392	63	0	138	7	98	114	3	8	29	4	40	200		0	18	7	123	190		22	3
Russia	6718	37	35	47	18	1036	165	81	15	23	427	145		15	17	250	53	31	28	45	40	17	230	253	101	97	19	78	6	16	60	21	446	14	1027	111	5	157	35	113	320	9	14	42		67	297		0	29	3	173	356	10	74	6
Rwanda	489	0		23	0	17	23	9		0	7	21	0	0	11	12	8	13		11	0	13	9	19	26	4	0	10	0	6		10	8	6	24	14	0	27		6	23	0	6		3	8	53	0	0	17	4	20	8			0
Saint Kitts-Nevis	339		0	0	0	4	0	3	0	0	68	7	0	0	0				0			0	8	3		0		0	0	0		0	9	0	91	4	0	0		0	3	7	0		0	4	12	0	95	0	0	4	0	0		0
Saint Lucia	872	3	0		0	19		31		4	105	28	0	0	0	3	4	0			6	0	16	13	3	0		0	0	0			41	0	392	9	0	8		0	21	0		3		0	32	0	104	0		9	0			0
Saint Vincent and the Grenadines	576	3	0		0	7		5		3	43	8	0	0	0	3		0	0	0		0	8	15	5	0	0	0	0	0			23	0	397		0			0	12				0	3	8	0	11	0	0	4	0	0	0	0
Samoa	219		15	3	0	56	0	0	0	0	5		0	38		0	0	0	0	0		0			0		0	4	0	0	4	0	4	0		0	0	0		10		0		0	0	0	3	0	0	30	0		32		0	
Sao Tome and Principe	10	0	0	0	0	0	0	0	0			0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0		0	0	0	0		0	0	0	0		0	0	0		0	0	0	0	0	0	0	0	0
Saudi Arabia	1263	8		13	7	159	26	12		4	79	18	0			78	18	7	9	5	9		20	19	70	18	6	21	0	9	4	3	77		93	33	3	45	6	27	47		0	4		11	135	0	0		0	111	22	6	8	0
Senegal	1285	5	0	9		53	17	8		18	19	68	0			30	23		4	39	3	0	69	19	50	13	4	12	0		4		69		339	47	0	118	9		27	0	29	6	0	31	59		4			31	17		13	0
Serbia	20	0	0	0	0			0	0	0		3	0	0				0	0	0	0	0		3	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
Serbia and Montenegro	2196		3	45	9	201	17	46	3	13	127	29	0	3	3	234	20	8		13	9	5	49	44	93	14		26		7	21	10	91		669	17		39	7		51		0	3	4	12	101	0	0	16		55	33	3	28	0
Seychelles	8	0	0	0	0			0	0	0			0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0		0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sierra Leone	2011	4		19	0	100	8	9	19	18	23	71	0	0	0	21	14	14	0	4	6	0	405	55	24	36	0	15	0	3	0	4	130	4	268	54	0	96	0	4	208	0	11	3		11	89		0		0	214	33	0	7	0
Singapore	774			6	0	219	8	11		4	25	9	0	7		32		4	4			0	18	38	6	8		5	0	3	6		27	4	108	10	0	13	3	12	11	0	3	3	0		78	0	0	10	0	23	30	0	9	
Slovakia	538	0	0	6	0	51	10	12	0	0	65	6	0	3	0	38	7	4				3	7	13	9	7	0	6	0		9		78	0	84	4	0	13			21	0		5	0	3	17	0	0			17	13	0	7	6
Slovenia	74		0		0	13	4		0		5	0		0	0	3	0		0			0	4	0			0	4	0		0	0		0	11		0			0	4	0	0	0		0		0	0	0	0		3	0	0	0
Solomon Islands	6	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Somalia	4558	7	8	149	0	152	188	10	0		4	86	0	0	20	69	14	30	73	101	5	166	16	87	53	1188	0	120	0	208	6	12		0	126	43	55	441	0	65	56	0	3	5	12	113	224	0	0	80	32	80	381	0	67	0
South Africa	2758	26		33	7	456	68	46	3	11	310	155	0	9	9	91	44	16	26	27	13	6	63	74	45	43	8	25	11	6	20	9	86	11	207	111	10	63	14	31	52	0	3	44	7	26	210	0		22	5	88	72	9	20	3
Soviet Union, former	4978	38	37	46	6	838	111	65	27	14	414	88		7	19	182	26	17	21	13	36	15	131	188	72	57	5	39		11	59	22	240	12	951	73	7	92	20	59	167	3	15	59	5	39	192	0	3	33	9	136	195	4	52	4
Spain	1684	8		20	8	219	34	20	3	13	330	27	6	8		58	19	5	7	4	5	3	35	82	18	9	0	13	3	7	16		88	10	218	29		31	4	17	35	34		11	0	6	109		0	19	3	37	28		15	
Sri Lanka	2036			22		519	8	18	6	0	54	43		3	0	43	23	9	17	3	14	5	137	58	24	18	7	3	0	14	24	8	170		376	20	3	37	8	17	54	0	6	4	0	7	123	0	0	0		53	42	7	20	0
Sudan	2397	15	22	95		119	109	35	0	11	57	56	0	0	4	81	23	118	5	28	16	24	78	44	37	78	6	43	0	132	11	19	37		198	105	14	76		11	101	0		8	21	45	170	0	0	28	4	240	51		16	0
Suriname	216	0	0			6				0	40	6	0	0	0	0	0		0	0	0	0	6	3	0	0	0		0	3		0	17	0	106		0	0		0	7			0	0	0	4	0	0	0	0	3	0			0
Swaziland	22	0	0	0	0		0	0	0			0	0	4	0	0	0	0	0	0	0	0	0		0		0	0	0	0	0		0	0			0	0	3	0		0	0	0	0	0	3	0	0	0	0	0	0	0		0
Sweden	1097		3	15		269	23	43	5	11	94	26	0	7	4	22	5	4			4	3	20	40	20	12	0	5		5	5	8	37	6	105	35	0	16		24	20	0	4	6	0	14	61	0	0	9	0	31	48	3	15	0
Switzerland	675		4	12		139	16	15			79	9	0	4		20	5			3	4	0	17	34	11	11	0		0	0	3		29	7	108	13	3	6	0	8	15		0			9	32	0	0	4	0	14	21	0	4	0
Syria	2555	9		49	9	720	12	26		3	107	30	0	0	9	249	21	12	17	14	19		23	85	143	19		12		3	13	3	146	6	139	26	12	111	16	15	184	0	19	10		19	119	0	0	9		56	37	9	6	0
Taiwan	6732	29	6	55	19	3109	59	45	10	8	150	119	21	47	15	160	45	11	40	23	11		128	122	94	40	3	39	5	9	33	16	258	19	609	77	3	70	23	59	124		7	21		35	503			36	4	126	229		50	
Tajikistan	299		0	6	3	20	22	0	0	5	19	5	0	0		5	0	0		0		0	12		4		0	0		14	0	0	5	0	107		3			5	13	0	0	0	0		8	0	0	0	0	11	14	0	3	0
Tanzania	1850	24	0	43	4	86	28	20	7	7	44	77	0	0	37	33	13	97	36	46	4		63	55	36	24		42		30	10	40	42	9	128	62	23	88	5	18	72	0	14	26	21	42	261	0	0	21	10	61	26		9	0
Thailand	9384	35	49	248	17	1653	250	133	4	18	377	249	11	86	28	304	479	112	97	148	34	12	108	156	81	354	20	102	6	326	151	27	103	23	712	294		155	32	120	203		12	47	46	134	863		21	168	38	320	258	10	139	7
Togo	1563	14	9	29	0	23	16	24	3	17	26	105	0		11	137	9	24	6	10	5		198	27	7	102		22	0	87	5	3	60	0	251	58	3	19		7	48	0		5		15	44	0	0	10		94	11	0	11	0
Tonga	343	0	16	10	0	139		0	0	0	4	0	0	42		0		0			0	0	0	0	0	0	0		0	0	3	0		0	0	0	0	0	0	3	0	0	0		0	0	13	0	0	79	0	5	19	0		0
Trinidad and Tobago	5435	9	3	16	5	85	12	49	16	18	840	157	0			33	16	4	8	7	28	0	278	95	12	18	5	6	0	0	6	0	396	5	2686	56		22	8	6	162		10	25		21	172	0	15	3	0	92	16		5	
Tunisia	418		0	6	0	82	4	3	5	7	55	8	0	0		16	3		4	0	3	0	9	11	11	9	5	0	0		0		11	0	44	10	0	13		0	20	0	0	0	0	3	22	0	0		0	38	3	0	4	0
Turkey	4483	16	8	49	13	575	27	91	35	18	320	104	0	6	3	153	36	14	12	5	48	3	109	186	53	23	3	32		7	43	11	589	7	761	77	6	114	24	20	165		13	25	0	33	291		0	5	8	214	81	6	33	4
Turkmenistan	224		0		0	19					12		0	0	0	12	3		0	0		0	9	6	3		0	0	0	0			13		69		0	5	0		7	0			0		12	0	0		0	10	16		3	0
Turks and Caicos Islands	29	0	0	0	0	0		0	0	0	21		0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tuvalu		0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
U.S. Virgin Islands		0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Uganda	1085	8	0	12		117	29	13	0	4	30	34	0	0		22	13	3	6	9	5	10	86	243	18	24		16	0	6	7	3	31	3	37	21	6	25	14	3	18	0		0	0	16	87	0	0	13	0	30	46	0	10	0
Ukraine	8477	51	34	81	13	1078	110	164	13	6	413	138	0	16	18	784	63	24	26	34	22	12	141	238	191	134	17	59	12	25	42	22	444	9	1688	110	9	233	41	174	475	3	10	48	16	38	244	0	0	47	4	140	682	7	63	11
United Arab Emirates	779	6	0	4	0	121		8	3		40	19	0	0	0	33	7		8	8	6	0	22	22	36	23		5	0	5			53		74	21	5	20	5	5	24	0		0	0	9	95	0	0	6	0	52	15	3	4	0
United Kingdom	12792	81	20	235	52	2364	218	264	35	66	1329	392	0	47	40	384	129	31	61	85	67	43	260	388	280	100	26	116	11	33	109	59	574	44	1335	307	12	233	78	137	398	6	33	145	11	120	1093	0	3	90	24	315	364	19	118	8
United States	201		0	3	0	44	0	4	0		24	6	0	0	0	5		0	4	0			7	3	0			0	0	0	3	0	9		25		0								0	0	27	0		3	0	10		0	0	0
Uruguay	1331			9	0	64	7	33		4	422	78	0	3	3	16	5	0		0	5	0	26	80		5	5	5	0	0	10	10	201		110	12	0	11			11	13	0	12	0	9	57	0	0	40	0	38	4	0	11	
Uzbekistan	4770			28	4	256	57	18		9	179	31	0	0	20	86	19	3	7	29	4		90	21	53	32	6	22	7	13	7		137		2838	19	6	124		25	263	0		71	3	71	43	0	0	12		87	55		4	0
Vanuatu	5	0	0	0	0		0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0
Venezuela	9409	17	13	49	14	325	35	69	10	20	5074	278	0	9	9	101	53	7	24	17	85		95	119	55	28	17	18		12	27	5	254	12	508	122	0	91	36	11	114	165	16	45	0	54	1041	0	4	85	3	164	57		34	4
Vietnam	30632	120	14	448	87	11501	442	182	24	22	1164	993		146	32	432	149	212	301	120	373	26	365	1018	355	482	130	245	5	250	181	57	399	137	473	725	16	256	287	757	862		7	111	11	206	3700			181	16	968	1538	15	72	13
Yemen	3591	31	0	15	17	570	5	23	5		4	11	0	0		149	25		6	0	29			5	738	39	26	9	0	0	6	0	11	5	1595	92		23	0		10	0	0	0	4	58	23	0	0	0	3	29	13			0
Zambia	628	3	5	23	3	35	0	18		4	33	44	0	0		21	26	3		4	5		26	18	23	8	8	23	0	8		0	16	0	48	10		19	8	5	31	0		5	4	0	75	0		12	4	24	13			0
Zimbabwe	1274	11	0	32		106	16	23	6	6	64	73	0			24	66	6	4	27		4	50	59	45	10	3	10	0	13	7		34	5	65	52		54	21	15	43	0		7		15	218	0	0	5		33	21		3	0
Unknown	1330	22	0	15	6	218	11	12	4	5	134	17	0	5	8	104	15	4	1	19	36	1	31	16	55	7	2	16	0	5	5	1	70	1	132	38	1	42	3	12	52	5	1	5	0	25	84	0	6	4	1	41	17	1	14	0
