GEO.id,Id
HC02_EST_VC08,Native; Estimate; Total population - SEX AND AGE - 25 to 44 years
HC02_MOE_VC08,Native; Margin of Error; Total population - SEX AND AGE - 25 to 44 years
HC03_EST_VC08,Foreign born; Estimate; Total population - SEX AND AGE - 25 to 44 years
HC03_MOE_VC08,Foreign born; Margin of Error; Total population - SEX AND AGE - 25 to 44 years
HC04_EST_VC08,Foreign born; Naturalized citizen; Estimate; Total population - SEX AND AGE - 25 to 44 years
HC04_MOE_VC08,Foreign born; Naturalized citizen; Margin of Error; Total population - SEX AND AGE - 25 to 44 years
HC05_EST_VC08,Foreign born; Not a U.S. citizen; Estimate; Total population - SEX AND AGE - 25 to 44 years
HC05_MOE_VC08,Foreign born; Not a U.S. citizen; Margin of Error; Total population - SEX AND AGE - 25 to 44 years
HC01_EST_VC09,Total; Estimate; Total population - SEX AND AGE - 45 to 54 years
HC01_MOE_VC09,Total; Margin of Error; Total population - SEX AND AGE - 45 to 54 years
HC02_EST_VC09,Native; Estimate; Total population - SEX AND AGE - 45 to 54 years
HC02_MOE_VC09,Native; Margin of Error; Total population - SEX AND AGE - 45 to 54 years
HC03_EST_VC09,Foreign born; Estimate; Total population - SEX AND AGE - 45 to 54 years
HC03_MOE_VC09,Foreign born; Margin of Error; Total population - SEX AND AGE - 45 to 54 years
HC04_EST_VC09,Foreign born; Naturalized citizen; Estimate; Total population - SEX AND AGE - 45 to 54 years
HC04_MOE_VC09,Foreign born; Naturalized citizen; Margin of Error; Total population - SEX AND AGE - 45 to 54 years
HC05_EST_VC09,Foreign born; Not a U.S. citizen; Estimate; Total population - SEX AND AGE - 45 to 54 years
HC05_MOE_VC09,Foreign born; Not a U.S. citizen; Margin of Error; Total population - SEX AND AGE - 45 to 54 years
HC01_EST_VC10,Total; Estimate; Total population - SEX AND AGE - 55 to 64 years
HC01_MOE_VC10,Total; Margin of Error; Total population - SEX AND AGE - 55 to 64 years
HC02_EST_VC10,Native; Estimate; Total population - SEX AND AGE - 55 to 64 years
HC02_MOE_VC10,Native; Margin of Error; Total population - SEX AND AGE - 55 to 64 years
HC03_EST_VC10,Foreign born; Estimate; Total population - SEX AND AGE - 55 to 64 years
HC03_MOE_VC10,Foreign born; Margin of Error; Total population - SEX AND AGE - 55 to 64 years
HC04_EST_VC10,Foreign born; Naturalized citizen; Estimate; Total population - SEX AND AGE - 55 to 64 years
HC04_MOE_VC10,Foreign born; Naturalized citizen; Margin of Error; Total population - SEX AND AGE - 55 to 64 years
HC05_EST_VC10,Foreign born; Not a U.S. citizen; Estimate; Total population - SEX AND AGE - 55 to 64 years
HC05_MOE_VC10,Foreign born; Not a U.S. citizen; Margin of Error; Total population - SEX AND AGE - 55 to 64 years
HC01_EST_VC11,Total; Estimate; Total population - SEX AND AGE - 65 to 74 years
HC01_MOE_VC11,Total; Margin of Error; Total population - SEX AND AGE - 65 to 74 years
HC02_EST_VC11,Native; Estimate; Total population - SEX AND AGE - 65 to 74 years
HC02_MOE_VC11,Native; Margin of Error; Total population - SEX AND AGE - 65 to 74 years
HC03_EST_VC11,Foreign born; Estimate; Total population - SEX AND AGE - 65 to 74 years
HC03_MOE_VC11,Foreign born; Margin of Error; Total population - SEX AND AGE - 65 to 74 years
HC04_EST_VC11,Foreign born; Naturalized citizen; Estimate; Total population - SEX AND AGE - 65 to 74 years
HC04_MOE_VC11,Foreign born; Naturalized citizen; Margin of Error; Total population - SEX AND AGE - 65 to 74 years
HC05_EST_VC11,Foreign born; Not a U.S. citizen; Estimate; Total population - SEX AND AGE - 65 to 74 years
HC05_MOE_VC11,Foreign born; Not a U.S. citizen; Margin of Error; Total population - SEX AND AGE - 65 to 74 years
HC01_EST_VC12,Total; Estimate; Total population - SEX AND AGE - 75 to 84 years
HC01_MOE_VC12,Total; Margin of Error; Total population - SEX AND AGE - 75 to 84 years
HC02_EST_VC12,Native; Estimate; Total population - SEX AND AGE - 75 to 84 years
HC02_MOE_VC12,Native; Margin of Error; Total population - SEX AND AGE - 75 to 84 years
HC03_EST_VC12,Foreign born; Estimate; Total population - SEX AND AGE - 75 to 84 years
HC03_MOE_VC12,Foreign born; Margin of Error; Total population - SEX AND AGE - 75 to 84 years
HC04_EST_VC12,Foreign born; Naturalized citizen; Estimate; Total population - SEX AND AGE - 75 to 84 years
HC04_MOE_VC12,Foreign born; Naturalized citizen; Margin of Error; Total population - SEX AND AGE - 75 to 84 years
HC05_EST_VC12,Foreign born; Not a U.S. citizen; Estimate; Total population - SEX AND AGE - 75 to 84 years
HC05_MOE_VC12,Foreign born; Not a U.S. citizen; Margin of Error; Total population - SEX AND AGE - 75 to 84 years
HC01_EST_VC13,Total; Estimate; Total population - SEX AND AGE - 85 years and over
HC01_MOE_VC13,Total; Margin of Error; Total population - SEX AND AGE - 85 years and over
HC02_EST_VC13,Native; Estimate; Total population - SEX AND AGE - 85 years and over
HC02_MOE_VC13,Native; Margin of Error; Total population - SEX AND AGE - 85 years and over
HC03_EST_VC13,Foreign born; Estimate; Total population - SEX AND AGE - 85 years and over
HC03_MOE_VC13,Foreign born; Margin of Error; Total population - SEX AND AGE - 85 years and over
HC04_EST_VC13,Foreign born; Naturalized citizen; Estimate; Total population - SEX AND AGE - 85 years and over
HC04_MOE_VC13,Foreign born; Naturalized citizen; Margin of Error; Total population - SEX AND AGE - 85 years and over
HC05_EST_VC13,Foreign born; Not a U.S. citizen; Estimate; Total population - SEX AND AGE - 85 years and over
HC05_MOE_VC13,Foreign born; Not a U.S. citizen; Margin of Error; Total population - SEX AND AGE - 85 years and over
HC01_EST_VC14,Total; Estimate; Total population - SEX AND AGE - Median age (years)
HC01_MOE_VC14,Total; Margin of Error; Total population - SEX AND AGE - Median age (years)
HC02_EST_VC14,Native; Estimate; Total population - SEX AND AGE - Median age (years)
HC02_MOE_VC14,Native; Margin of Error; Total population - SEX AND AGE - Median age (years)
HC03_EST_VC14,Foreign born; Estimate; Total population - SEX AND AGE - Median age (years)
HC03_MOE_VC14,Foreign born; Margin of Error; Total population - SEX AND AGE - Median age (years)
HC04_EST_VC14,Foreign born; Naturalized citizen; Estimate; Total population - SEX AND AGE - Median age (years)
HC04_MOE_VC14,Foreign born; Naturalized citizen; Margin of Error; Total population - SEX AND AGE - Median age (years)
HC05_EST_VC14,Foreign born; Not a U.S. citizen; Estimate; Total population - SEX AND AGE - Median age (years)
HC05_MOE_VC14,Foreign born; Not a U.S. citizen; Margin of Error; Total population - SEX AND AGE - Median age (years)
HC01_EST_VC16,Total; Estimate; Total population - RACE AND HISPANIC OR LATINO ORIGIN - One race
HC01_MOE_VC16,Total; Margin of Error; Total population - RACE AND HISPANIC OR LATINO ORIGIN - One race
HC02_EST_VC16,Native; Estimate; Total population - RACE AND HISPANIC OR LATINO ORIGIN - One race
HC02_MOE_VC16,Native; Margin of Error; Total population - RACE AND HISPANIC OR LATINO ORIGIN - One race
HC03_EST_VC16,Foreign born; Estimate; Total population - RACE AND HISPANIC OR LATINO ORIGIN - One race
HC03_MOE_VC16,Foreign born; Margin of Error; Total population - RACE AND HISPANIC OR LATINO ORIGIN - One race
HC04_EST_VC16,Foreign born; Naturalized citizen; Estimate; Total population - RACE AND HISPANIC OR LATINO ORIGIN - One race
HC04_MOE_VC16,Foreign born; Naturalized citizen; Margin of Error; Total population - RACE AND HISPANIC OR LATINO ORIGIN - One race
HC05_EST_VC16,Foreign born; Not a U.S. citizen; Estimate; Total population - RACE AND HISPANIC OR LATINO ORIGIN - One race
HC05_MOE_VC16,Foreign born; Not a U.S. citizen; Margin of Error; Total population - RACE AND HISPANIC OR LATINO ORIGIN - One race
HC01_EST_VC17,Total; Estimate; Total population - RACE AND HISPANIC OR LATINO ORIGIN - One race - White
HC01_MOE_VC17,Total; Margin of Error; Total population - RACE AND HISPANIC OR LATINO ORIGIN - One race - White
HC02_EST_VC17,Native; Estimate; Total population - RACE AND HISPANIC OR LATINO ORIGIN - One race - White
HC02_MOE_VC17,Native; Margin of Error; Total population - RACE AND HISPANIC OR LATINO ORIGIN - One race - White
HC03_EST_VC17,Foreign born; Estimate; Total population - RACE AND HISPANIC OR LATINO ORIGIN - One race - White
HC03_MOE_VC17,Foreign born; Margin of Error; Total population - RACE AND HISPANIC OR LATINO ORIGIN - One race - White
HC04_EST_VC17,Foreign born; Naturalized citizen; Estimate; Total population - RACE AND HISPANIC OR LATINO ORIGIN - One race - White
HC04_MOE_VC17,Foreign born; Naturalized citizen; Margin of Error; Total population - RACE AND HISPANIC OR LATINO ORIGIN - One race - White
HC05_EST_VC17,Foreign born; Not a U.S. citizen; Estimate; Total population - RACE AND HISPANIC OR LATINO ORIGIN - One race - White
HC05_MOE_VC17,Foreign born; Not a U.S. citizen; Margin of Error; Total population - RACE AND HISPANIC OR LATINO ORIGIN - One race - White
HC01_EST_VC18,Total; Estimate; Total population - RACE AND HISPANIC OR LATINO ORIGIN - One race - Black or African American
HC01_MOE_VC18,Total; Margin of Error; Total population - RACE AND HISPANIC OR LATINO ORIGIN - One race - Black or African American
HC02_EST_VC18,Native; Estimate; Total population - RACE AND HISPANIC OR LATINO ORIGIN - One race - Black or African American
HC02_MOE_VC18,Native; Margin of Error; Total population - RACE AND HISPANIC OR LATINO ORIGIN - One race - Black or African American
HC03_EST_VC18,Foreign born; Estimate; Total population - RACE AND HISPANIC OR LATINO ORIGIN - One race - Black or African American
HC03_MOE_VC18,Foreign born; Margin of Error; Total population - RACE AND HISPANIC OR LATINO ORIGIN - One race - Black or African American
HC04_EST_VC18,Foreign born; Naturalized citizen; Estimate; Total population - RACE AND HISPANIC OR LATINO ORIGIN - One race - Black or African American
HC04_MOE_VC18,Foreign born; Naturalized citizen; Margin of Error; Total population - RACE AND HISPANIC OR LATINO ORIGIN - One race - Black or African American
HC05_EST_VC18,Foreign born; Not a U.S. citizen; Estimate; Total population - RACE AND HISPANIC OR LATINO ORIGIN - One race - Black or African American
HC05_MOE_VC18,Foreign born; Not a U.S. citizen; Margin of Error; Total population - RACE AND HISPANIC OR LATINO ORIGIN - One race - Black or African American
HC01_EST_VC19,Total; Estimate; Total population - RACE AND HISPANIC OR LATINO ORIGIN - One race - American Indian and Alaska Native
HC01_MOE_VC19,Total; Margin of Error; Total population - RACE AND HISPANIC OR LATINO ORIGIN - One race - American Indian and Alaska Native
HC02_EST_VC19,Native; Estimate; Total population - RACE AND HISPANIC OR LATINO ORIGIN - One race - American Indian and Alaska Native
HC02_MOE_VC19,Native; Margin of Error; Total population - RACE AND HISPANIC OR LATINO ORIGIN - One race - American Indian and Alaska Native
HC03_EST_VC19,Foreign born; Estimate; Total population - RACE AND HISPANIC OR LATINO ORIGIN - One race - American Indian and Alaska Native
HC03_MOE_VC19,Foreign born; Margin of Error; Total population - RACE AND HISPANIC OR LATINO ORIGIN - One race - American Indian and Alaska Native
HC04_EST_VC19,Foreign born; Naturalized citizen; Estimate; Total population - RACE AND HISPANIC OR LATINO ORIGIN - One race - American Indian and Alaska Native
HC04_MOE_VC19,Foreign born; Naturalized citizen; Margin of Error; Total population - RACE AND HISPANIC OR LATINO ORIGIN - One race - American Indian and Alaska Native
HC05_EST_VC19,Foreign born; Not a U.S. citizen; Estimate; Total population - RACE AND HISPANIC OR LATINO ORIGIN - One race - American Indian and Alaska Native
HC05_MOE_VC19,Foreign born; Not a U.S. citizen; Margin of Error; Total population - RACE AND HISPANIC OR LATINO ORIGIN - One race - American Indian and Alaska Native
HC01_EST_VC20,Total; Estimate; Total population - RACE AND HISPANIC OR LATINO ORIGIN - One race - Asian
HC01_MOE_VC20,Total; Margin of Error; Total population - RACE AND HISPANIC OR LATINO ORIGIN - One race - Asian
HC02_EST_VC20,Native; Estimate; Total population - RACE AND HISPANIC OR LATINO ORIGIN - One race - Asian
HC02_MOE_VC20,Native; Margin of Error; Total population - RACE AND HISPANIC OR LATINO ORIGIN - One race - Asian
HC03_EST_VC20,Foreign born; Estimate; Total population - RACE AND HISPANIC OR LATINO ORIGIN - One race - Asian
HC03_MOE_VC20,Foreign born; Margin of Error; Total population - RACE AND HISPANIC OR LATINO ORIGIN - One race - Asian
HC04_EST_VC20,Foreign born; Naturalized citizen; Estimate; Total population - RACE AND HISPANIC OR LATINO ORIGIN - One race - Asian
HC04_MOE_VC20,Foreign born; Naturalized citizen; Margin of Error; Total population - RACE AND HISPANIC OR LATINO ORIGIN - One race - Asian
HC05_EST_VC20,Foreign born; Not a U.S. citizen; Estimate; Total population - RACE AND HISPANIC OR LATINO ORIGIN - One race - Asian
HC05_MOE_VC20,Foreign born; Not a U.S. citizen; Margin of Error; Total population - RACE AND HISPANIC OR LATINO ORIGIN - One race - Asian
HC01_EST_VC21,Total; Estimate; Total population - RACE AND HISPANIC OR LATINO ORIGIN - One race - Native Hawaiian and Other Pacific Islander
HC01_MOE_VC21,Total; Margin of Error; Total population - RACE AND HISPANIC OR LATINO ORIGIN - One race - Native Hawaiian and Other Pacific Islander
HC02_EST_VC21,Native; Estimate; Total population - RACE AND HISPANIC OR LATINO ORIGIN - One race - Native Hawaiian and Other Pacific Islander
HC02_MOE_VC21,Native; Margin of Error; Total population - RACE AND HISPANIC OR LATINO ORIGIN - One race - Native Hawaiian and Other Pacific Islander
HC03_EST_VC21,Foreign born; Estimate; Total population - RACE AND HISPANIC OR LATINO ORIGIN - One race - Native Hawaiian and Other Pacific Islander
HC03_MOE_VC21,Foreign born; Margin of Error; Total population - RACE AND HISPANIC OR LATINO ORIGIN - One race - Native Hawaiian and Other Pacific Islander
HC04_EST_VC21,Foreign born; Naturalized citizen; Estimate; Total population - RACE AND HISPANIC OR LATINO ORIGIN - One race - Native Hawaiian and Other Pacific Islander
HC04_MOE_VC21,Foreign born; Naturalized citizen; Margin of Error; Total population - RACE AND HISPANIC OR LATINO ORIGIN - One race - Native Hawaiian and Other Pacific Islander
HC05_EST_VC21,Foreign born; Not a U.S. citizen; Estimate; Total population - RACE AND HISPANIC OR LATINO ORIGIN - One race - Native Hawaiian and Other Pacific Islander
HC05_MOE_VC21,Foreign born; Not a U.S. citizen; Margin of Error; Total population - RACE AND HISPANIC OR LATINO ORIGIN - One race - Native Hawaiian and Other Pacific Islander
HC01_EST_VC22,Total; Estimate; Total population - RACE AND HISPANIC OR LATINO ORIGIN - One race - Some other race
HC01_MOE_VC22,Total; Margin of Error; Total population - RACE AND HISPANIC OR LATINO ORIGIN - One race - Some other race
HC02_EST_VC22,Native; Estimate; Total population - RACE AND HISPANIC OR LATINO ORIGIN - One race - Some other race
HC02_MOE_VC22,Native; Margin of Error; Total population - RACE AND HISPANIC OR LATINO ORIGIN - One race - Some other race
HC03_EST_VC22,Foreign born; Estimate; Total population - RACE AND HISPANIC OR LATINO ORIGIN - One race - Some other race
HC03_MOE_VC22,Foreign born; Margin of Error; Total population - RACE AND HISPANIC OR LATINO ORIGIN - One race - Some other race
HC04_EST_VC22,Foreign born; Naturalized citizen; Estimate; Total population - RACE AND HISPANIC OR LATINO ORIGIN - One race - Some other race
HC04_MOE_VC22,Foreign born; Naturalized citizen; Margin of Error; Total population - RACE AND HISPANIC OR LATINO ORIGIN - One race - Some other race
HC05_EST_VC22,Foreign born; Not a U.S. citizen; Estimate; Total population - RACE AND HISPANIC OR LATINO ORIGIN - One race - Some other race
HC05_MOE_VC22,Foreign born; Not a U.S. citizen; Margin of Error; Total population - RACE AND HISPANIC OR LATINO ORIGIN - One race - Some other race
HC01_EST_VC23,Total; Estimate; Total population - RACE AND HISPANIC OR LATINO ORIGIN - Two or more races
HC01_MOE_VC23,Total; Margin of Error; Total population - RACE AND HISPANIC OR LATINO ORIGIN - Two or more races
HC02_EST_VC23,Native; Estimate; Total population - RACE AND HISPANIC OR LATINO ORIGIN - Two or more races
HC02_MOE_VC23,Native; Margin of Error; Total population - RACE AND HISPANIC OR LATINO ORIGIN - Two or more races
HC03_EST_VC23,Foreign born; Estimate; Total population - RACE AND HISPANIC OR LATINO ORIGIN - Two or more races
HC03_MOE_VC23,Foreign born; Margin of Error; Total population - RACE AND HISPANIC OR LATINO ORIGIN - Two or more races
HC04_EST_VC23,Foreign born; Naturalized citizen; Estimate; Total population - RACE AND HISPANIC OR LATINO ORIGIN - Two or more races
HC04_MOE_VC23,Foreign born; Naturalized citizen; Margin of Error; Total population - RACE AND HISPANIC OR LATINO ORIGIN - Two or more races
HC05_EST_VC23,Foreign born; Not a U.S. citizen; Estimate; Total population - RACE AND HISPANIC OR LATINO ORIGIN - Two or more races
HC05_MOE_VC23,Foreign born; Not a U.S. citizen; Margin of Error; Total population - RACE AND HISPANIC OR LATINO ORIGIN - Two or more races
HC01_EST_VC24,Total; Estimate; Total population - RACE AND HISPANIC OR LATINO ORIGIN - Hispanic or Latino origin (of any race)
HC01_MOE_VC24,Total; Margin of Error; Total population - RACE AND HISPANIC OR LATINO ORIGIN - Hispanic or Latino origin (of any race)
HC02_EST_VC24,Native; Estimate; Total population - RACE AND HISPANIC OR LATINO ORIGIN - Hispanic or Latino origin (of any race)
HC02_MOE_VC24,Native; Margin of Error; Total population - RACE AND HISPANIC OR LATINO ORIGIN - Hispanic or Latino origin (of any race)
HC03_EST_VC24,Foreign born; Estimate; Total population - RACE AND HISPANIC OR LATINO ORIGIN - Hispanic or Latino origin (of any race)
HC03_MOE_VC24,Foreign born; Margin of Error; Total population - RACE AND HISPANIC OR LATINO ORIGIN - Hispanic or Latino origin (of any race)
HC04_EST_VC24,Foreign born; Naturalized citizen; Estimate; Total population - RACE AND HISPANIC OR LATINO ORIGIN - Hispanic or Latino origin (of any race)
HC04_MOE_VC24,Foreign born; Naturalized citizen; Margin of Error; Total population - RACE AND HISPANIC OR LATINO ORIGIN - Hispanic or Latino origin (of any race)
HC05_EST_VC24,Foreign born; Not a U.S. citizen; Estimate; Total population - RACE AND HISPANIC OR LATINO ORIGIN - Hispanic or Latino origin (of any race)
HC05_MOE_VC24,Foreign born; Not a U.S. citizen; Margin of Error; Total population - RACE AND HISPANIC OR LATINO ORIGIN - Hispanic or Latino origin (of any race)
HC01_EST_VC25,"Total; Estimate; Total population - RACE AND HISPANIC OR LATINO ORIGIN - White alone, not Hispanic or Latino"
HC01_MOE_VC25,"Total; Margin of Error; Total population - RACE AND HISPANIC OR LATINO ORIGIN - White alone, not Hispanic or Latino"
HC02_EST_VC25,"Native; Estimate; Total population - RACE AND HISPANIC OR LATINO ORIGIN - White alone, not Hispanic or Latino"
HC02_MOE_VC25,"Native; Margin of Error; Total population - RACE AND HISPANIC OR LATINO ORIGIN - White alone, not Hispanic or Latino"
HC03_EST_VC25,"Foreign born; Estimate; Total population - RACE AND HISPANIC OR LATINO ORIGIN - White alone, not Hispanic or Latino"
HC03_MOE_VC25,"Foreign born; Margin of Error; Total population - RACE AND HISPANIC OR LATINO ORIGIN - White alone, not Hispanic or Latino"
HC04_EST_VC25,"Foreign born; Naturalized citizen; Estimate; Total population - RACE AND HISPANIC OR LATINO ORIGIN - White alone, not Hispanic or Latino"
HC04_MOE_VC25,"Foreign born; Naturalized citizen; Margin of Error; Total population - RACE AND HISPANIC OR LATINO ORIGIN - White alone, not Hispanic or Latino"
HC05_EST_VC25,"Foreign born; Not a U.S. citizen; Estimate; Total population - RACE AND HISPANIC OR LATINO ORIGIN - White alone, not Hispanic or Latino"
HC05_MOE_VC25,"Foreign born; Not a U.S. citizen; Margin of Error; Total population - RACE AND HISPANIC OR LATINO ORIGIN - White alone, not Hispanic or Latino"
HC01_EST_VC27,Total; Estimate; Total population - HOUSEHOLD TYPE - In married-couple family households
HC01_MOE_VC27,Total; Margin of Error; Total population - HOUSEHOLD TYPE - In married-couple family households
HC02_EST_VC27,Native; Estimate; Total population - HOUSEHOLD TYPE - In married-couple family households
HC02_MOE_VC27,Native; Margin of Error; Total population - HOUSEHOLD TYPE - In married-couple family households
HC03_EST_VC27,Foreign born; Estimate; Total population - HOUSEHOLD TYPE - In married-couple family households
HC03_MOE_VC27,Foreign born; Margin of Error; Total population - HOUSEHOLD TYPE - In married-couple family households
HC04_EST_VC27,Foreign born; Naturalized citizen; Estimate; Total population - HOUSEHOLD TYPE - In married-couple family households
HC04_MOE_VC27,Foreign born; Naturalized citizen; Margin of Error; Total population - HOUSEHOLD TYPE - In married-couple family households
HC05_EST_VC27,Foreign born; Not a U.S. citizen; Estimate; Total population - HOUSEHOLD TYPE - In married-couple family households
HC05_MOE_VC27,Foreign born; Not a U.S. citizen; Margin of Error; Total population - HOUSEHOLD TYPE - In married-couple family households
HC01_EST_VC28,Total; Estimate; Total population - HOUSEHOLD TYPE - In other households
HC01_MOE_VC28,Total; Margin of Error; Total population - HOUSEHOLD TYPE - In other households
HC02_EST_VC28,Native; Estimate; Total population - HOUSEHOLD TYPE - In other households
HC02_MOE_VC28,Native; Margin of Error; Total population - HOUSEHOLD TYPE - In other households
HC03_EST_VC28,Foreign born; Estimate; Total population - HOUSEHOLD TYPE - In other households
HC03_MOE_VC28,Foreign born; Margin of Error; Total population - HOUSEHOLD TYPE - In other households
HC04_EST_VC28,Foreign born; Naturalized citizen; Estimate; Total population - HOUSEHOLD TYPE - In other households
HC04_MOE_VC28,Foreign born; Naturalized citizen; Margin of Error; Total population - HOUSEHOLD TYPE - In other households
HC05_EST_VC28,Foreign born; Not a U.S. citizen; Estimate; Total population - HOUSEHOLD TYPE - In other households
HC05_MOE_VC28,Foreign born; Not a U.S. citizen; Margin of Error; Total population - HOUSEHOLD TYPE - In other households
HC01_EST_VC30,Total; Estimate; MARITAL STATUS - Population 15 years and over
HC01_MOE_VC30,Total; Margin of Error; MARITAL STATUS - Population 15 years and over
HC02_EST_VC30,Native; Estimate; MARITAL STATUS - Population 15 years and over
HC02_MOE_VC30,Native; Margin of Error; MARITAL STATUS - Population 15 years and over
HC03_EST_VC30,Foreign born; Estimate; MARITAL STATUS - Population 15 years and over
HC03_MOE_VC30,Foreign born; Margin of Error; MARITAL STATUS - Population 15 years and over
HC04_EST_VC30,Foreign born; Naturalized citizen; Estimate; MARITAL STATUS - Population 15 years and over
HC04_MOE_VC30,Foreign born; Naturalized citizen; Margin of Error; MARITAL STATUS - Population 15 years and over
HC05_EST_VC30,Foreign born; Not a U.S. citizen; Estimate; MARITAL STATUS - Population 15 years and over
HC05_MOE_VC30,Foreign born; Not a U.S. citizen; Margin of Error; MARITAL STATUS - Population 15 years and over
HC01_EST_VC31,Total; Estimate; MARITAL STATUS - Population 15 years and over - Never married
